vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMCDL24F217385,67.76,33.54,3.0,100.0,143,27.25,77.86
MD9EMCDL24G217002,77.23,19.76,41.0,100.0,169,12.92,80.19
MD9EMCDL24G217006,61.96,24.85,16.0,100.0,164,28.53,77.43
MD9EMCDL24G217010,60.46,33.95,2.0,100.0,100,28.23,76.95
MD9EMCDL24G217011,59.51,27.45,0.63,100.0,170,2173.9,75.84
MD9EMCDL24G217012,72.13,24.48,15.62,100.0,140,22.73,75.81
MD9EMCDL24G217014,73.08,30.15,4.82,99.99,182,28.53,77.53
MD9EMCDL24H217004,79.68,26.04,4.61,100.0,158,28.54,77.43
MD9EMCDL24H217005,80.15,18.32,13.48,100.0,130,28.45,77.57
MD9EMCDL24H217017,65.53,29.64,0.0,100.0,112,28.56,77.39
MD9EMCDL24H217021,73.82,27.92,11.26,100.0,164,28.54,77.42
MD9EMCDL24H217022,68.55,31.35,3.32,100.0,104,28.62,77.39
MD9EMCDL24H217036,69.74,24.63,13.0,100.0,98,28.44,77.01
MD9EMCDL24H217051,72.75,26.52,11.0,100.0,181,28.36,77.55
MD9EMCDL24J217024,69.43,30.64,8.0,100.0,164,28.63,77.38
MD9EMHDL22E217012,80.9,18.91,47.82,100.0,192,17.49,78.43
MD9EMHDL22E217034,51.45,0.0,51.45,51.45,4,13.03,77.67
MD9EMHDL22E217035,91.33,18.44,33.46,100.0,65,13.03,77.62
MD9EMHDL22E217036,95.02,311.64,27.78,3261.65,192,12.97,77.5
MD9EMHDL22E217037,61.91,29.76,24.83,100.0,120,17.46,78.58
MD9EMHDL22E217059,54.76,26.64,20.05,96.9,192,17.43,78.49
MD9EMHDL22E217060,70.11,0.0,70.11,70.11,4,17.53,78.29
MD9EMHDL22E217062,87.66,0.0,87.66,87.66,4,17.46,78.61
MD9EMHDL22E217063,27.17,13.14,4.06,51.45,188,17.49,78.45
MD9EMHDL22F217023,132.64,628.08,17.75,8786.32,192,12.94,77.55
MD9EMHDL22J217005,95.02,0.0,95.02,95.02,192,12.96,77.59
